model,lake,cali,metric,value
air2water4par,Allequash,calibrated,rmse,1.30230783981387
air2water4par,Allequash,calibrated,nse,0.972511774794944
air2water4par,Allequash,calibrated,r,0.987301081758317
air2water4par,Allequash,calibrated,bias,-0.186190605536332
air2water4par,Allequash,uncalibrated,rmse,2.75276362721002
air2water4par,Allequash,uncalibrated,nse,0.877183354092813
air2water4par,Allequash,uncalibrated,r,0.98573552927472
air2water4par,Allequash,uncalibrated,bias,-2.41194915224914
air2water4par,Alqueva,calibrated,rmse,0.825901625197807
air2water4par,Alqueva,calibrated,nse,0.971291958887244
air2water4par,Alqueva,calibrated,r,0.985541456356225
air2water4par,Alqueva,calibrated,bias,1.15071283092814e-06
air2water4par,Alqueva,uncalibrated,rmse,2.12362906102546
air2water4par,Alqueva,uncalibrated,nse,0.810196490736519
air2water4par,Alqueva,uncalibrated,r,0.985484905613481
air2water4par,Alqueva,uncalibrated,bias,-1.7698867311609
air2water4par,Annie,calibrated,rmse,0.981383889105151
air2water4par,Annie,calibrated,nse,0.946478624939799
air2water4par,Annie,calibrated,r,0.972871415851773
air2water4par,Annie,calibrated,bias,-0.000329508670520244
air2water4par,Annie,uncalibrated,rmse,1.11850998528475
air2water4par,Annie,uncalibrated,nse,0.93047689732418
air2water4par,Annie,uncalibrated,r,0.971128342746855
air2water4par,Annie,uncalibrated,bias,-0.405666705202312
air2water4par,Biel,calibrated,rmse,1.08053516551263
air2water4par,Biel,calibrated,nse,0.967783629406513
air2water4par,Biel,calibrated,r,0.983760128098366
air2water4par,Biel,calibrated,bias,0.00213488235294123
air2water4par,Biel,uncalibrated,rmse,3.22933105402916
air2water4par,Biel,uncalibrated,nse,0.712244297094176
air2water4par,Biel,uncalibrated,r,0.976932721537303
air2water4par,Biel,uncalibrated,bias,-2.94357994117647
air2water4par,BigMuskellunge,calibrated,rmse,1.01334293003759
air2water4par,BigMuskellunge,calibrated,nse,0.982747335849988
air2water4par,BigMuskellunge,calibrated,r,0.991983620869995
air2water4par,BigMuskellunge,calibrated,bias,-0.135864576856649
air2water4par,BigMuskellunge,uncalibrated,rmse,3.56007254201527
air2water4par,BigMuskellunge,uncalibrated,nse,0.787058171236919
air2water4par,BigMuskellunge,uncalibrated,r,0.989615784336425
air2water4par,BigMuskellunge,uncalibrated,bias,-3.30446566493955
