model,lake,cali,metric,value
Simstrat-LER,Green,calibrated,bias,0.00814
Simstrat-LER,Harp,calibrated,rmse,1.16976
Simstrat-LER,Harp,calibrated,nse,0.93937
Simstrat-LER,Harp,calibrated,r,0.97697
Simstrat-LER,Harp,calibrated,bias,-0.42173
Simstrat-LER,Hassel,calibrated,rmse,0.96247
Simstrat-LER,Hassel,calibrated,nse,0.95403
Simstrat-LER,Hassel,calibrated,r,0.98269
Simstrat-LER,Hassel,calibrated,bias,0.26021
Simstrat-LER,Hulun,calibrated,rmse,2.71437
Simstrat-LER,Hulun,calibrated,nse,0.91642
Simstrat-LER,Hulun,calibrated,r,0.9604
Simstrat-LER,Hulun,calibrated,bias,0.02134
Simstrat-LER,Kilpisjarvi,calibrated,rmse,1.74631
Simstrat-LER,Kilpisjarvi,calibrated,nse,0.57807
Simstrat-LER,Kilpisjarvi,calibrated,r,0.83272
Simstrat-LER,Kilpisjarvi,calibrated,bias,0.70977
Simstrat-LER,Kinneret,calibrated,rmse,2.50758
Simstrat-LER,Kinneret,calibrated,nse,0.6979
Simstrat-LER,Kinneret,calibrated,r,0.84992
Simstrat-LER,Kinneret,calibrated,bias,-0.2446
Simstrat-LER,Kivu,calibrated,rmse,0.25138
Simstrat-LER,Kivu,calibrated,nse,0.71803
Simstrat-LER,Kivu,calibrated,r,0.84793
Simstrat-LER,Kivu,calibrated,bias,-0.00492
Simstrat-LER,Klicava,calibrated,rmse,1.26134
Simstrat-LER,Klicava,calibrated,nse,0.96966
Simstrat-LER,Klicava,calibrated,r,0.98767
Simstrat-LER,Klicava,calibrated,bias,-0.18545
Simstrat-LER,Kuivajarvi,calibrated,rmse,1.59233
Simstrat-LER,Kuivajarvi,calibrated,nse,0.92514
Simstrat-LER,Kuivajarvi,calibrated,r,0.97602
Simstrat-LER,Kuivajarvi,calibrated,bias,-0.46387
Simstrat-LER,Langtjern,calibrated,rmse,1.32104
Simstrat-LER,Langtjern,calibrated,nse,0.87319
Simstrat-LER,Langtjern,calibrated,r,0.97144
Simstrat-LER,Langtjern,calibrated,bias,-0.77174
Simstrat-LER,Laramie,calibrated,rmse,1.46752
Simstrat-LER,Laramie,calibrated,nse,0.8338
Simstrat-LER,Laramie,calibrated,r,0.96559
Simstrat-LER,Laramie,calibrated,bias,0.30652
Simstrat-LER,LowerLakeZurich,calibrated,rmse,0.88928
Simstrat-LER,LowerLakeZurich,calibrated,nse,0.96651
Simstrat-LER,LowerLakeZurich,calibrated,r,0.98435
Simstrat-LER,LowerLakeZurich,calibrated,bias,-0.23958
Simstrat-LER,Mendota,calibrated,rmse,1.3772
Simstrat-LER,Mendota,calibrated,nse,0.95303
Simstrat-LER,Mendota,calibrated,r,0.97948
Simstrat-LER,Mendota,calibrated,bias,-0.0274
Simstrat-LER,Monona,calibrated,rmse,1.72722
Simstrat-LER,Monona,calibrated,nse,0.91953
Simstrat-LER,Monona,calibrated,r,0.97012
Simstrat-LER,Monona,calibrated,bias,-0.39646
Simstrat-LER,Mozhaysk,calibrated,rmse,1.34769
Simstrat-LER,Mozhaysk,calibrated,nse,0.97381
Simstrat-LER,Mozhaysk,calibrated,r,0.99198
Simstrat-LER,Mozhaysk,calibrated,bias,-0.43006
Simstrat-LER,MtBold,calibrated,rmse,1.84016
Simstrat-LER,MtBold,calibrated,nse,0.77633
Simstrat-LER,MtBold,calibrated,r,0.88297
Simstrat-LER,MtBold,calibrated,bias,0.14497
Simstrat-LER,Muggelsee,calibrated,rmse,0.61195
Simstrat-LER,Muggelsee,calibrated,nse,0.99148
Simstrat-LER,Muggelsee,calibrated,r,0.99641
Simstrat-LER,Muggelsee,calibrated,bias,-0.13435
Simstrat-LER,Murten,calibrated,rmse,1.5409
Simstrat-LER,Murten,calibrated,nse,0.91006
Simstrat-LER,Murten,calibrated,r,0.97398
Simstrat-LER,Murten,calibrated,bias,-0.65574
Simstrat-LER,Neuchatel,calibrated,rmse,1.32758
Simstrat-LER,Neuchatel,calibrated,nse,0.91776
Simstrat-LER,Neuchatel,calibrated,r,0.96591
Simstrat-LER,Neuchatel,calibrated,bias,-0.16625
Simstrat-LER,Ngoring,calibrated,rmse,1.43342
Simstrat-LER,Ngoring,calibrated,nse,0.86248
Simstrat-LER,Ngoring,calibrated,r,0.9504
Simstrat-LER,Ngoring,calibrated,bias,-0.14701
Simstrat-LER,NohipaloMustjarv,calibrated,rmse,2.02766
Simstrat-LER,NohipaloMustjarv,calibrated,nse,0.86787
Simstrat-LER,NohipaloMustjarv,calibrated,r,0.97645
Simstrat-LER,NohipaloMustjarv,calibrated,bias,-1.22839
Simstrat-LER,NohipaloValgejarv,calibrated,rmse,2.28008
Simstrat-LER,NohipaloValgejarv,calibrated,nse,0.85171
Simstrat-LER,NohipaloValgejarv,calibrated,r,0.95137
Simstrat-LER,NohipaloValgejarv,calibrated,bias,-0.80633
Simstrat-LER,Okauchee,calibrated,rmse,1.89608
Simstrat-LER,Okauchee,calibrated,nse,0.92659
Simstrat-LER,Okauchee,calibrated,r,0.97094
Simstrat-LER,Okauchee,calibrated,bias,-0.45127
Simstrat-LER,Paajarvi,calibrated,rmse,0.86593
Simstrat-LER,Paajarvi,calibrated,nse,0.95806
Simstrat-LER,Paajarvi,calibrated,r,0.98429
Simstrat-LER,Paajarvi,calibrated,bias,-0.1546
Simstrat-LER,Rappbode,calibrated,rmse,0.88069
Simstrat-LER,Rappbode,calibrated,nse,0.95612
Simstrat-LER,Rappbode,calibrated,r,0.97807
Simstrat-LER,Rappbode,calibrated,bias,-0.01338
Simstrat-LER,Rappbodep,calibrated,rmse,1.2599
Simstrat-LER,Rappbodep,calibrated,nse,0.91014
Simstrat-LER,Rappbodep,calibrated,r,0.9724
Simstrat-LER,Rappbodep,calibrated,bias,0.0897
Simstrat-LER,Rimov,calibrated,rmse,1.48878
