model,lake,cali,metric,value
air2water6par,Ekoln,uncalibrated,bias,1.14214868971061
air2water6par,Erken,calibrated,rmse,0.858637670654793
air2water6par,Erken,calibrated,nse,0.985741690192106
air2water6par,Erken,calibrated,r,0.993141732895049
air2water6par,Erken,calibrated,bias,-0.112969475704727
air2water6par,Erken,uncalibrated,rmse,1.63684482980353
air2water6par,Erken,uncalibrated,nse,0.948184082510323
air2water6par,Erken,uncalibrated,r,0.985817130936728
air2water6par,Erken,uncalibrated,bias,1.07930401338159
air2water6par,FallingCreek,calibrated,rmse,1.13375355452852
air2water6par,FallingCreek,calibrated,nse,0.939473021801188
air2water6par,FallingCreek,calibrated,r,0.969264185422194
air2water6par,FallingCreek,calibrated,bias,0.000107272727273026
air2water6par,FallingCreek,uncalibrated,rmse,1.32862112200445
air2water6par,FallingCreek,uncalibrated,nse,0.916878384767797
air2water6par,FallingCreek,uncalibrated,r,0.966897279772945
air2water6par,FallingCreek,uncalibrated,bias,0.0146030303030305
air2water6par,Feeagh,calibrated,rmse,0.593401337984451
air2water6par,Feeagh,calibrated,nse,0.979021926334379
air2water6par,Feeagh,calibrated,r,0.989455374694202
air2water6par,Feeagh,calibrated,bias,0.000232349450549423
air2water6par,Feeagh,uncalibrated,rmse,1.27736738792409
air2water6par,Feeagh,uncalibrated,nse,0.902792401978587
air2water6par,Feeagh,uncalibrated,r,0.987974530482827
air2water6par,Feeagh,uncalibrated,bias,1.01946726813187
air2water6par,Fish,calibrated,rmse,1.20011422713269
air2water6par,Fish,calibrated,nse,0.975809785450519
air2water6par,Fish,calibrated,r,0.989154142840482
air2water6par,Fish,calibrated,bias,-0.165850471014493
air2water6par,Fish,uncalibrated,rmse,2.12451723112774
air2water6par,Fish,uncalibrated,nse,0.924191995049833
air2water6par,Fish,uncalibrated,r,0.989367968043125
air2water6par,Fish,uncalibrated,bias,-1.78642869565217
air2water6par,GreatPond,calibrated,rmse,0.788712787365228
air2water6par,GreatPond,calibrated,nse,0.970571042765269
air2water6par,GreatPond,calibrated,r,0.985175640923612
air2water6par,GreatPond,calibrated,bias,5.05443548387695e-05
air2water6par,GreatPond,uncalibrated,rmse,2.41555390343173
air2water6par,GreatPond,uncalibrated,nse,0.723960916836032
air2water6par,GreatPond,uncalibrated,r,0.978979867492998
air2water6par,GreatPond,uncalibrated,bias,-2.21751185483871
air2water6par,Green,calibrated,rmse,1.00862138577777
air2water6par,Green,calibrated,nse,0.979389786272637
air2water6par,Green,calibrated,r,0.989646338171403
air2water6par,Green,calibrated,bias,0.00852160919540247
air2water6par,Green,uncalibrated,rmse,1.85776224840749
air2water6par,Green,uncalibrated,nse,0.930079195341801
air2water6par,Green,uncalibrated,r,0.982140922642121
air2water6par,Green,uncalibrated,bias,1.09320540229885
air2water6par,Harp,calibrated,rmse,1.28890817028329
air2water6par,Harp,calibrated,nse,0.977360856643008
air2water6par,Harp,calibrated,r,0.991487968293796
air2water6par,Harp,calibrated,bias,-0.404189682726204
air2water6par,Harp,uncalibrated,rmse,1.6089696523357
air2water6par,Harp,uncalibrated,nse,0.964721367552204
air2water6par,Harp,uncalibrated,r,0.984331212171469
air2water6par,Harp,uncalibrated,bias,-0.553739506462985
air2water6par,Kinneret,calibrated,rmse,0.555402088784847
air2water6par,Kinneret,calibrated,nse,0.987253994693443
air2water6par,Kinneret,calibrated,r,0.993606571934088
air2water6par,Kinneret,calibrated,bias,-0.000161476190476193
air2water6par,Kinneret,uncalibrated,rmse,3.11827894488027
air2water6par,Kinneret,uncalibrated,nse,0.598219363830979
air2water6par,Kinneret,uncalibrated,r,0.965379377551844
air2water6par,Kinneret,uncalibrated,bias,-2.53776253333333
air2water6par,Kivu,calibrated,rmse,0.508394202168532
air2water6par,Kivu,calibrated,nse,0.424370025032171
air2water6par,Kivu,calibrated,r,0.651473168227046
air2water6par,Kivu,calibrated,bias,0.00407606635071099
air2water6par,Kivu,uncalibrated,rmse,16.6057604255567
air2water6par,Kivu,uncalibrated,nse,-613.129216196066
air2water6par,Kivu,uncalibrated,r,-0.517068517742724
air2water6par,Kivu,uncalibrated,bias,-16.5425186255924
air2water6par,Klicava,calibrated,rmse,0.958358515939791
air2water6par,Klicava,calibrated,nse,0.984187937905042
air2water6par,Klicava,calibrated,r,0.992062674469185
air2water6par,Klicava,calibrated,bias,-0.00207189700041091
air2water6par,Klicava,uncalibrated,rmse,1.21971199656156
air2water6par,Klicava,uncalibrated,nse,0.974387787923042
air2water6par,Klicava,uncalibrated,r,0.989581293329236
air2water6par,Klicava,uncalibrated,bias,0.50545590877962
air2water6par,Kuivajarvi,calibrated,rmse,0.957532574801581
air2water6par,Kuivajarvi,calibrated,nse,0.981703108994233
air2water6par,Kuivajarvi,calibrated,r,0.991748320383537
air2water6par,Kuivajarvi,calibrated,bias,-0.201924480446927
air2water6par,Kuivajarvi,uncalibrated,rmse,1.64074202725018
air2water6par,Kuivajarvi,uncalibrated,nse,0.946278170839728
air2water6par,Kuivajarvi,uncalibrated,r,0.977546978078112
air2water6par,Kuivajarvi,uncalibrated,bias,0.620490893854749
air2water6par,Langtjern,calibrated,rmse,1.63396291535946
air2water6par,Langtjern,calibrated,nse,0.926209149031472
air2water6par,Langtjern,calibrated,r,0.967040998106792
air2water6par,Langtjern,calibrated,bias,-0.358065113122172
air2water6par,Langtjern,uncalibrated,rmse,2.15609951846926
air2water6par,Langtjern,uncalibrated,nse,0.871514022504251
air2water6par,Langtjern,uncalibrated,r,0.960630390755877
air2water6par,Langtjern,uncalibrated,bias,-1.219612586727
air2water6par,Laramie,calibrated,rmse,0.205938773494869
air2water6par,Laramie,calibrated,nse,0.996222684050095
air2water6par,Laramie,calibrated,r,0.998111533232949
air2water6par,Laramie,calibrated,bias,0.000882857142856709
air2water6par,Laramie,uncalibrated,rmse,2.77731639279976
air2water6par,Laramie,uncalibrated,nse,0.312998344227134
air2water6par,Laramie,uncalibrated,r,0.921222995613845
air2water6par,Laramie,uncalibrated,bias,-2.39645428571429
air2water6par,LowerLakeZurich,calibrated,rmse,0.934822751432416
air2water6par,LowerLakeZurich,calibrated,nse,0.979794364040807
air2water6par,LowerLakeZurich,calibrated,r,0.989845705181614
air2water6par,LowerLakeZurich,calibrated,bias,0.00156543269230769
air2water6par,LowerLakeZurich,uncalibrated,rmse,1.13417522705188
air2water6par,LowerLakeZurich,uncalibrated,nse,0.97025771771996
air2water6par,LowerLakeZurich,uncalibrated,r,0.988816456302907
air2water6par,LowerLakeZurich,uncalibrated,bias,-0.434525192307692
air2water6par,Mendota,calibrated,rmse,0.853810227067768
air2water6par,Mendota,calibrated,nse,0.988779380453593
air2water6par,Mendota,calibrated,r,0.994525864663597
air2water6par,Mendota,calibrated,bias,-0.0653239102564103
air2water6par,Mendota,uncalibrated,rmse,1.30616810080685
air2water6par,Mendota,uncalibrated,nse,0.973740147731951
air2water6par,Mendota,uncalibrated,r,0.987405638810555
air2water6par,Mendota,uncalibrated,bias,0.205237948717949
air2water6par,Monona,calibrated,rmse,0.93925106541005
air2water6par,Monona,calibrated,nse,0.985456166405761
air2water6par,Monona,calibrated,r,0.993032134242758
air2water6par,Monona,calibrated,bias,-0.0854928762541806
air2water6par,Monona,uncalibrated,rmse,1.41524724494996
air2water6par,Monona,uncalibrated,nse,0.966979766473659
air2water6par,Monona,uncalibrated,r,0.991951559189344
air2water6par,Monona,uncalibrated,bias,-0.983433043478261
air2water6par,Mozhaysk,calibrated,rmse,0.885891613335959
air2water6par,Mozhaysk,calibrated,nse,0.985962909607641
air2water6par,Mozhaysk,calibrated,r,0.99296423826922
air2water6par,Mozhaysk,calibrated,bias,-0.0120996108949416
air2water6par,Mozhaysk,uncalibrated,rmse,1.04066281581885
air2water6par,Mozhaysk,uncalibrated,nse,0.980629715923865
air2water6par,Mozhaysk,uncalibrated,r,0.991178492145092
air2water6par,Mozhaysk,uncalibrated,bias,-0.179989416342412
